Home to Gait 1,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Note:  units of X, Y, and Z are inches",,,,,,,,,,,,,
Stride (inches):,13,,,,,,,,,,,,
Stance (inches):,34,,,,,,,,,,,,
Duty cycle :,80%,,,,,,,,,,,,
Total step cycle time (sec):,4,,,,,,,,,,,,
Robot speed (in/0.1 sec),4.0625,,,,,,,,,,,,
Number of steps:,71,,,,,,,,,,,,
Home position Z,-14.665,,,,,,,,,,,,
Time (seconds),x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,waist,Description
0.00,-14.900,14.900,-14.665,14.900,14.900,-14.665,14.900,-14.900,-14.665,-14.900,-14.900,-14.665,0.0,Home position
0.10,-14.900,14.900,-15.000,14.900,14.900,-14.665,14.900,-14.900,-14.000,-14.900,-14.900,-14.665,0.0,tilt chassis down on leg 3 corner and up on leg 1 corner
0.20,-14.900,14.900,-15.500,14.900,14.900,-14.665,14.900,-14.900,-13.500,-14.900,-14.900,-14.665,0.0,
0.30,-14.900,14.900,-16.000,14.900,14.900,-14.665,14.900,-14.900,-13.000,-14.900,-14.900,-14.665,0.0,chassis is tilted down on leg 3 and up on leg 1 corner
0.40,-14.900,14.900,-16.000,14.900,14.900,-14.665,14.900,-14.900,-13.000,-14.900,-14.900,-14.665,0.0,lift leg 1 and begin move to Gait 1 position
0.50,-15.400,15.400,-16.000,14.900,14.900,-14.665,14.900,-14.900,-13.000,-14.900,-14.900,-14.665,0.0,
0.60,-16.000,16.000,-16.000,14.900,14.900,-14.665,14.900,-14.900,-13.000,-14.900,-14.900,-14.665,0.0,
0.70,-16.500,16.500,-15.250,14.900,14.900,-14.665,14.900,-14.900,-13.000,-14.900,-14.900,-14.665,0.0,
0.80,-17.000,17.000,-14.665,14.900,14.900,-14.665,14.900,-14.900,-13.000,-14.900,-14.900,-14.665,0.0,leg 1 is in Gait 1 position
0.90,-17.000,17.000,-14.665,14.900,14.900,-14.665,14.900,-14.900,-13.600,-14.900,-14.900,-14.665,0.0,return chassis to level
1.00,-17.000,17.000,-14.665,14.900,14.900,-14.665,14.900,-14.900,-14.200,-14.900,-14.900,-14.665,0.0,
1.10,-17.000,17.000,-14.665,14.900,14.900,-14.665,14.900,-14.900,-14.665,-14.900,-14.900,-14.665,0.0,chassis is level & Leg 1 is in Gait 1 position
1.20,-17.000,17.000,-14.000,14.900,14.900,-14.665,14.900,-14.900,-15.000,-14.900,-14.900,-14.665,0.0,tilt chassis down on leg 1 corner and up on leg 3 corner
1.30,-17.000,17.000,-13.500,14.900,14.900,-14.665,14.900,-14.900,-15.500,-14.900,-14.900,-14.665,0.0,
1.40,-17.000,17.000,-13.000,14.900,14.900,-14.665,14.900,-14.900,-16.000,-14.900,-14.900,-14.665,0.0,chassis is tilted down on leg 1 corner
1.50,-17.000,17.000,-13.000,14.900,14.900,-14.665,15.400,-15.200,-16.000,-14.900,-14.900,-14.665,0.0,lift leg 3 and move to Gait 1 position
1.60,-17.000,17.000,-13.000,14.900,14.900,-14.665,16.000,-15.500,-15.500,-14.900,-14.900,-14.665,0.0,
1.70,-17.000,17.000,-13.000,14.900,14.900,-14.665,16.500,-15.900,-15.000,-14.900,-14.900,-14.665,0.0,
