Time (seconds),x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,waist,l1ift,l21ift,l31ift,l41ift
16.5,-13.9,8.9,-19.665,13.9,8.9,-19.665,13.9,-18.9,-19.665,-13.9,-18.9,-19.665,0,0,0,0,0,
16.6,-13.3774,8.92739,-19.665,14.4226,8.92739,-19.665,14.4226,-18.8726,-19.665,-13.3774,-18.8726,-19.665,0,0,0,0,0,
16.7,-12.8604,9.00926,-19.665,14.9396,9.00926,-19.665,14.9396,-18.7907,-19.665,-12.8604,-18.7907,-19.665,0,0,0,0,0,
16.8,-12.3549,9.14472,-19.665,15.4451,9.14472,-19.665,15.4451,-18.6553,-19.665,-12.3549,-18.6553,-19.665,0,0,0,0,0,
16.9,-11.8663,9.33227,-19.665,15.9337,9.33227,-19.665,15.9337,-18.4677,-19.665,-11.8663,-18.4677,-19.665,0,0,0,0,0,
17,-11.4,9.56987,-19.665,16.4,9.56987,-19.665,16.4,-18.2301,-19.665,-11.4,-18.2301,-19.665,0,0,0,0,0,
17.1,-10.9611,9.85492,-19.665,16.8389,9.85492,-19.665,16.8389,-17.9451,-19.665,-10.9611,-17.9451,-19.665,0,0,0,0,0,
17.2,-10.5543,10.1843,-19.665,17.2457,10.1843,-19.665,17.2457,-17.6157,-19.665,-10.5543,-17.6157,-19.665,0,0,0,0,0,
17.3,-10.5543,10.1843,-19.665,17.2457,10.1843,-19.665,17.2457,-17.6157,-19.665,-10.5543,-17.6157,-19.665,0,0,0,1,0,
17.4,-10.5543,10.1843,-19.665,17.2457,10.1843,-19.665,17.2457,-17.6157,-19.065,-10.5543,-17.6157,-19.665,0,0,0,1,0,
17.5,-10.5543,10.1843,-19.665,17.2457,10.1843,-19.665,17.2457,-17.6157,-18.465,-10.5543,-17.6157,-19.665,0,0,0,1,0,
17.6,-10.5543,10.1843,-19.665,17.2457,10.1843,-19.665,17.2457,-17.6157,-17.865,-10.5543,-17.6157,-19.665,0,0,0,1,0,
17.7,-10.5543,10.1843,-19.665,17.2457,10.1843,-19.665,17.2457,-17.6157,-17.265,-10.5543,-17.6157,-19.665,0,0,0,1,0,
17.8,-10.5543,10.1843,-19.665,17.2457,10.1843,-19.665,17.2457,-17.6157,-16.665,-10.5543,-17.6157,-19.665,0,0,0,1,0,
17.9,-10.5543,10.1843,-19.665,17.2457,10.1843,-19.665,17.2457,-17.6157,-16.065,-10.5543,-17.6157,-19.665,0,0,0,1,0,
18,-10.5543,10.1843,-19.665,17.2457,10.1843,-19.665,17.2457,-17.6157,-15.465,-10.5543,-17.6157,-19.665,0,0,0,1,0,
18.1,-10.5543,10.1843,-19.665,17.2457,10.1843,-19.665,17.2457,-17.6157,-14.865,-10.5543,-17.6157,-19.665,0,0,0,1,0,
18.2,-10.5543,10.1843,-19.665,17.2457,10.1843,-19.665,17.2457,-17.6157,-14.265,-10.5543,-17.6157,-19.665,0,0,0,1,0,
18.3,-10.5543,10.1843,-19.665,17.2457,10.1843,-19.665,17.2457,-17.6157,-13.665,-10.5543,-17.6157,-19.665,0,0,0,1,0,
18.4,-10.5543,10.1843,-19.665,17.2457,10.1843,-19.665,17.2457,-17.6157,-13.065,-10.5543,-17.6157,-19.665,0,0,0,1,0,
18.5,-10.5543,10.1843,-19.665,17.2457,10.1843,-19.665,17.2457,-17.6157,-12.465,-10.5543,-17.6157,-19.665,0,0,0,1,0,
18.6,-10.5543,10.1843,-19.665,17.2457,10.1843,-19.665,17.2457,-17.6157,-11.865,-10.5543,-17.6157,-19.665,0,0,0,1,0,
18.7,-10.5543,10.1843,-19.665,17.2457,10.1843,-19.665,17.2457,-17.6157,-11.265,-10.5543,-17.6157,-19.665,0,0,0,1,0,
18.8,-10.5543,10.1843,-19.665,17.2457,10.1843,-19.665,17.2457,-17.6157,-10.665,-10.5543,-17.6157,-19.665,0,0,0,1,0,
18.9,-10.5543,10.1843,-19.665,17.2457,10.1843,-19.665,17.2457,-17.6157,-10.065,-10.5543,-17.6157,-19.665,0,0,0,1,0,
19,-10.5543,10.1843,-19.665,17.2457,10.1843,-19.665,17.2457,-17.6157,-9.465,-10.5543,-17.6157,-19.665,0,0,0,1,0,
