time,note,51,52,53,54,55,56,57,58,59,61,62,63,64,65,66,67,68,69
0,out,0,0,0,0,-0.593856,-6.69869,10.2143,7.48258,21.2838,0,0,0,0,-14.5,-12.7,46,0.4,-16.2
2,touch,0,0,0,0,22.73,-1.85,-7.36,3.28,34.82,0,0,0,0,-7.5,-21.7,46,-2,-23
4,grab,180,270,270,270,22.73,-1.85,-7.36,3.28,34.82,180,270,270,270,-7.5,-21.7,46,-2,-23
6,turn,180,270,270,270,8,-2.07,-17.82,-4.04,34.85,180,270,270,270,-21.9,-11,36.8,-9.6,-16.6
8,turn,180,270,270,270,-11.12,-2.09,-23.12,-12.38,34.87,180,270,270,270,-23.5,-7.9,19.8,-18,-13.8
10,stop,180,270,270,270,-34.1586,9.19288,-26.8898,-14.1338,35.4413,180,270,270,270,-23.6,-9.1,5.6,-32,-15.4
12,release,0,0,0,0,-34.1586,9.19288,-26.8898,-14.1338,35.4413,0,0,0,0,-23.6,-9.1,5.6,-32,-15.4
14,,0,0,0,0,-40.3347,17.3643,-26.771,-12.566,35.8451,0,0,0,0,-26,-9.8,7,-35.1,-10.6
16,,0,0,0,0,-40.3109,17.3406,-26.8423,-14.941,26.581,0,0,0,0,-26,-10.9,17.4,-31.9,-4.5
18,,0,0,0,0,-15.5115,-6.27111,-10.5944,-13.2786,18.6946,0,0,0,0,-24.9,-9.4,32.1,-13.1,-4.5
20,,0,0,0,0,-11.212,-6.72245,-0.475084,-2.5417,18.6708,0,0,0,0,-24.3,-10.3,46.3,-0.6,-10.7
22,,0,0,0,0,-0.593856,-6.69869,10.2143,7.48258,21.2838,0,0,0,0,-14.5,-12.7,46,0.4,-16.2
