Gait 2:   z= -12,,,,,,,,,,,,,,,,,,,,,,,,
"Rev 1 - faster step ahead, longer time for all four feet on the ground",,,,,,,,,,,,,,,,,,,,,,,,
7/25/2013,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
step height (inch),,,,,,,,,,,,,,,,,,,,,,,,
stride (inch),13,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Number of steps:,40,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,positive angle is leaning forward,,,Joint angle - leg 1,,,Actuator RPM,,,Dynamixel speed,,Safety margin on COG (inch - positive is good)
Time (seconds),x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,T,Description,hip,femur,knee,hip,femur,knee,hip,femur,knee,
0.00,-17.0,17.000,-12.0,17.0,9.353,-12.0,17.0,-15.471,-12.0,-17.0,-7.824,-12.0,,leg 1 lands,0.000,13.343,-1.669,0.0,-89.0,11.1,0,-777,97,0.76
0.10,-17.0,16.618,-12.0,17.0,8.971,-12.0,17.0,-15.853,-12.0,-17.0,-8.206,-12.0,,,,,,0.0,0.0,0.0,0,0,0,0.38
0.20,-17.0,16.235,-12.0,17.0,8.588,-12.0,17.0,-16.23529412,-12.0,-17.0,-8.588,-12.0,,,,,,0.0,0.0,0.0,0,0,0,0.000
0.30,-17.0,15.853,-12.0,17.0,8.206,-12.0,17.0,-16.618,-12.0,-17.0,-8.971,-12.0,,,,,,0.0,0.0,0.0,0,0,0,0.382
0.40,-17.0,15.471,-12.0,17.0,7.824,-12.0,17.0,-17.000,-12.0,-17.0,-9.353,-12.0,,leg 3 lifts,,,,0.0,0.0,0.0,0,0,0,0.765
0.50,-17.0,15.088,-12.0,17.0,7.441,-12.0,17.582,-17.582,-11.122,-17.0,-9.735,-12.0,,,,,,0.0,0.0,0.0,0,0,0,1.147
0.60,-17.0,14.706,-12.0,17.0,7.059,-12.0,19.702,-14.317,-10.495,-17.0,-10.118,-12.0,,,,,,0.0,0.0,0.0,0,0,0,1.529
0.70,-17.0,14.324,-12.0,17.0,6.676,-12.0,20.915,-10.708,-9.890,-17.0,-10.500,-12.0,,,,,,0.0,0.0,0.0,0,0,0,1.912
0.80,-17.0,13.941,-12.0,17.0,6.294,-12.0,21.184,-7.008,-9.313,-17.0,-10.882,-12.0,,,,,,0.0,0.0,0.0,0,0,0,2.294
0.90,-17.0,13.559,-12.0,17.0,5.912,-12.0,18.369,-3.793,-10.976,-17.0,-11.265,-12.0,,,,,,0.0,0.0,0.0,0,0,0,2.676
1.00,-17.0,13.176,-12.0,17.0,5.529,-12.0,17.0,-4.000,-12.0,-17.0,-11.647,-12.0,,leg 3 lands,,,,0.0,0.0,0.0,0,0,0,3.059
1.10,-17.0,12.794,-12.0,17.0,5.147,-12.0,17.0,-4.382,-12.0,-17.0,-12.029,-12.0,,,,,,0.0,0.0,0.0,0,0,0,3.441
1.20,-17.0,12.412,-12.0,17.0,4.765,-12.0,17.0,-4.765,-12.0,-17.0,-12.412,-12.0,,,,,,0.0,0.0,0.0,0,0,0,3.824
1.30,-17.0,12.029,-12.0,17.0,4.382,-12.0,17.0,-5.147,-12.0,-17.0,-12.794,-12.0,,,,,,0.0,0.0,0.0,0,0,0,3.441
1.40,-17.0,11.647,-12.0,17.0,4.000,-12.0,17.0,-5.529,-12.0,-17.0,-13.176,-12.0,,leg 2 lifts,,,,0.0,0.0,0.0,0,0,0,3.059
1.50,-17.0,11.265,-12.0,18.369,3.793,-10.976,17.0,-5.912,-12.0,-17.0,-13.559,-12.0,,,,,,0.0,0.0,0.0,0,0,0,2.676
1.60,-17.0,10.882,-12.0,21.184,7.008,-9.313,17.0,-6.294,-12.0,-17.0,-13.941,-12.0,,,,,,0.0,0.0,0.0,0,0,0,2.294
1.70,-17.0,10.500,-12.0,20.915,10.708,-9.890,17.0,-6.676,-12.0,-17.0,-14.324,-12.0,,,,,,0.0,0.0,0.0,0,0,0,1.912
1.80,-17.0,10.118,-12.0,19.702,14.317,-10.495,17.0,-7.059,-12.0,-17.0,-14.706,-12.0,,,,,,0.0,0.0,0.0,0,0,0,1.529
1.90,-17.0,9.735,-12.0,17.582,17.582,-11.122,17.0,-7.441,-12.0,-17.0,-15.088,-12.0,,,,,,0.0,0.0,0.0,0,0,0,1.147
2.00,-17.0,9.353,-12.0,17.0,17.000,-12.0,17.0,-7.824,-12.0,-17.0,-15.471,-12.0,,leg 2 lands,,,,0.0,0.0,0.0,0,0,0,0.765
2.10,-17.0,8.971,-12.0,17.0,16.618,-12.0,17.0,-8.206,-12.0,-17.0,-15.853,-12.0,,,,,,0.0,0.0,0.0,0,0,0,0.382
2.20,-17.0,8.588,-12.0,17.0,16.235,-12.0,17.0,-8.588,-12.0,-17.0,-16.235,-12.0,,,,,,0.0,0.0,0.0,0,0,0,0.000
