Leg motion tables,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Note:  Z=0 is ground level,,,,,,,,,,,,,,
"Note:  units of X, Y, and Z are inches",,,,,,,,,,,,,,
Stride (inches):,13,,,,,,,,,,,,,
Stance (inches):,34,,,,,,,,,,,,,
Duty cycle :,80%,,,,,,,,,,,,,
Total step cycle time (sec):,4,,,,,,,,,,,,,
Robot speed (in/0.1 sec),4.0625,,,,,,,,,,,,,
Count of Position,40,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Time (seconds),x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,T,Description
0,-17,17,-15.5,17,8.875,-15.5,17,-16.188,-15.5,-17,-8.063,-15.5,,leg 1 lands
0.1,-17,16.594,-15.5,17,8.469,-15.5,17,-16.594,-15.5,-17,-8.469,-15.5,,
0.2,-17,16.188,-15.5,17,8.063,-15.5,17,-17,-15.5,-17,-8.875,-15.5,,leg 3 lifts
0.3,-17,15.781,-15.5,17,7.656,-15.5,17,-17,-14.8,-17,-9.281,-15.5,,
0.4,-17,15.375,-15.5,17,7.25,-15.5,17,-17,-14,-17,-9.688,-15.5,,
0.5,-17,14.969,-15.5,17,6.844,-15.5,17,-16,-14,-17,-10.094,-15.5,,
0.6,-17,14.563,-15.5,17,6.438,-15.5,17,-12,-14,-17,-10.5,-15.5,,
0.7,-17,14.156,-15.5,17,6.031,-15.5,17,-8,-14,-17,-10.906,-15.5,,
0.8,-17,13.75,-15.5,17,5.625,-15.5,17,-4,-14.5,-17,-11.313,-15.5,,
0.9,-17,13.344,-15.5,17,5.219,-15.5,17,-4,-15,-17,-11.719,-15.5,,
1,-17,12.938,-15.5,17,4.813,-15.5,17,-4,-15.5,-17,-12.125,-15.5,,leg 3 lands
1.1,-17,12.531,-15.5,17,4.406,-15.5,17,-4.406,-15.5,-17,-12.531,-15.5,,
1.2,-17,12.125,-15.5,17,4,-15.5,17,-4.813,-15.5,-17,-12.938,-15.5,,leg 2 lifts
1.3,-17,11.719,-15.5,17,4,-14.75,17,-5.219,-15.5,-17,-13.344,-15.5,,
1.4,-17,11.313,-15.5,17,4,-14,17,-5.625,-15.5,-17,-13.75,-15.5,,
1.5,-17,10.906,-15.5,17,8,-14,17,-6.031,-15.5,-17,-14.156,-15.5,,
1.6,-17,10.5,-15.5,17,12,-14,17,-6.438,-15.5,-17,-14.563,-15.5,,
1.7,-17,10.094,-15.5,17,16,-14,17,-6.844,-15.5,-17,-14.969,-15.5,,
1.8,-17,9.688,-15.5,17,17,-14.5,17,-7.25,-15.5,-17,-15.375,-15.5,,
1.9,-17,9.281,-15.5,17,17,-15,17,-7.656,-15.5,-17,-15.781,-15.5,,
2,-17,8.875,-15.5,17,17,-15.5,17,-8.063,-15.5,-17,-16.188,-15.5,,leg 2 lands
2.1,-17,8.469,-15.5,17,16.594,-15.5,17,-8.469,-15.5,-17,-16.594,-15.5,,
2.2,-17,8.063,-15.5,17,16.188,-15.5,17,-8.875,-15.5,-17,-17,-15.5,,leg 4 lifts
2.3,-17,7.656,-15.5,17,15.781,-15.5,17,-9.281,-15.5,-17,-17,-14.8,,
2.4,-17,7.25,-15.5,17,15.375,-15.5,17,-9.688,-15.5,-17,-17,-14,,
2.5,-17,6.844,-15.5,17,14.969,-15.5,17,-10.094,-15.5,-17,-16,-14,,
2.6,-17,6.438,-15.5,17,14.563,-15.5,17,-10.5,-15.5,-17,-12,-14,,
2.7,-17,6.031,-15.5,17,14.156,-15.5,17,-10.906,-15.5,-17,-8,-14,,
2.8,-17,5.625,-15.5,17,13.75,-15.5,17,-11.313,-15.5,-17,-4,-14.5,,
2.9,-17,5.219,-15.5,17,13.344,-15.5,17,-11.719,-15.5,-17,-4,-15,,
3,-17,4.813,-15.5,17,12.938,-15.5,17,-12.125,-15.5,-17,-4,-15.5,,leg 4 lands
3.1,-17,4.406,-15.5,17,12.531,-15.5,17,-12.531,-15.5,-17,-4.406,-15.5,,
3.2,-17,4,-15.5,17,12.125,-15.5,17,-12.938,-15.5,-17,-4.813,-15.5,,leg 1 lifts
3.3,-17,4,-14.8,17,11.719,-15.5,17,-13.344,-15.5,-17,-5.219,-15.5,,
3.4,-17,4,-14,17,11.313,-15.5,17,-13.75,-15.5,-17,-5.625,-15.5,,
3.5,-17,8,-14,17,10.906,-15.5,17,-14.156,-15.5,-17,-6.031,-15.5,,
3.6,-17,12,-14,17,10.5,-15.5,17,-14.563,-15.5,-17,-6.438,-15.5,,
3.7,-17,16,-14,17,10.094,-15.5,17,-14.969,-15.5,-17,-6.844,-15.5,,
3.8,-17,17,-14.5,17,9.688,-15.5,17,-15.375,-15.5,-17,-7.25,-15.5,,
3.9,-17,17,-15,17,9.281,-15.5,17,-15.781,-15.5,-17,-7.656,-15.5,,
